timestamp,open,high,low,close,volume
1771361100000,67831.14,67839.39,67700.17,67752,3.67580969
1771362000000,67752,67854.08,67649.36,67854.08,3.62160235
1771362900000,67854.08,67870.19,67548.25,67570.19,0.39632641
1771363800000,67570.19,67570.19,67514.62,67556.42,2.5383881
1771364700000,67556.42,67639.86,67543.61,67639.86,0.48620154
1771365600000,67639.86,67639.86,67514.61,67556.16,0.53187702
1771366500000,67556.16,67645.26,67509.48,67633.52,2.2577653
1771367400000,67633.52,67749.45,67600.01,67603.37,1.40331778
1771368300000,67603.37,67603.37,67493.5,67507.92,0.87414625
1771369200000,67507.92,67519.41,67346.67,67403.24,1.69855615
1771370100000,67403.24,67590,67403.24,67420.69,0.91374562
1771371000000,67420.69,67505.47,67374.99,67484.29,0.66008255
1771371900000,67484.29,67538.67,67468.22,67468.22,4.9074928
1771372800000,67468.22,67600.85,67468.22,67600.85,3.63854398
1771373700000,67600.85,67600.85,67439.28,67467.71,0.64938823
1771374600000,67467.71,67558.28,67437.71,67441.37,1.06385157
1771375500000,67441.37,67441.37,67273.91,67288.42,1.76483295
1771376400000,67288.42,67331.56,67034.71,67106.53,2.94228603
1771377300000,67106.53,67206.45,67018.3,67024.99,0.91805447
1771378200000,67024.99,67146.49,66861.68,67145.44,8.00152522
1771379100000,67145.44,67163.31,67054.79,67136.55,0.26070245
1771380000000,67136.55,67354.18,67120.65,67248.03,1.69646792
1771380900000,67248.03,67297.96,67182.92,67187.57,1.57520274
1771381800000,67187.57,67383.29,67187.57,67330.07,1.39149052
1771382700000,67330.07,67344.01,67231.39,67289.91,0.47219752
1771383600000,67289.91,67401.83,67289.91,67375.06,0.84805513
1771384500000,67375.06,67514.61,67375.06,67508.95,0.35795841
1771385400000,67508.95,67609.5,67485.19,67592.76,0.21290331
1771386300000,67592.76,67641.01,67561.43,67624.81,0.72110209
1771387200000,67624.81,67666.94,67468.62,67523.64,0.4578474
1771388100000,67523.64,67646.35,67523.64,67640.34,0.63628397
1771389000000,67640.34,67706.08,67611.97,67655.97,0.14588289
1771389900000,67655.97,67839.12,67620.86,67763.36,0.85085319
1771390800000,67763.36,67843.5,67732.13,67843.5,0.03949403
1771391700000,67843.5,67897.1,67676.23,67700.56,4.42017597
1771392600000,67700.56,67721.96,67576.17,67609.76,0.41863142
1771393500000,67609.76,67684.5,67565.56,67613.89,0.17491544
1771394400000,67613.89,67764.99,67587.19,67764.99,0.93820329
1771395300000,67764.99,67867.5,67706.78,67830.09,0.6347176
1771396200000,67830.09,67887.02,67782,67887.02,1.97398662
1771397100000,67887.02,67924.64,67800,67804.06,0.04068914
1771398000000,67804.06,67844.1,67725.92,67725.92,0.64316245
1771398900000,67725.92,67746.92,67666.86,67711.12,0.81825008
1771399800000,67711.12,68051.92,67711.12,68047.28,0.85032694
1771400700000,68047.28,68175.28,68040.03,68087.52,2.09201183
1771401600000,68087.52,68224.14,68065.93,68151.11,1.21213185
1771402500000,68151.11,68424.98,68151.11,68265.68,0.94647718
1771403400000,68265.68,68271.81,68121.62,68169.91,0.26110319
1771404300000,68169.91,68169.91,68042.08,68103.36,0.77592037
1771405200000,68103.36,68172.88,67988,68172.88,0.34730172
1771406100000,68172.88,68222.25,68117.92,68117.92,0.45382844
1771407000000,68117.92,68216.01,68117.92,68194.51,0.12590312
1771407900000,68194.51,68194.51,68130.12,68149.6,0.16313974
1771408800000,68149.6,68149.6,68071.41,68136.26,0.04796605
1771409700000,68136.26,68136.26,67951.08,68000.87,0.98472861
1771410600000,68000.87,68000.87,67729.61,67729.61,1.59829202
1771411500000,67729.61,67813.01,67729.61,67745.31,0.46115527
