timestamp,open,high,low,close,volume
1740960000000,94271.45,94421.05,85065.37,86144.67,1471.09530577
1741046400000,86144.67,88944.6,81425.29,87212.5,1341.25324858
1741132800000,87212.5,91000,86307.89,90602.69,1463.40527068
1741219200000,90602.69,92797.5,87780.89,89917.78,1353.61778467
1741305600000,89917.78,91277.03,84633,86763.59,1883.29071576
1741392000000,86763.59,86850.19,85196.34,86199.3,196.20775601
1741478400000,86199.3,86477.1,80000,80728,489.40060098
1741564800000,80728,84040.02,77392.07,78562.48,1252.29949635
1741651200000,78562.48,83635.2,76597.63,82908.61,1352.15309105
1741737600000,82908.61,84433.68,80572,83660.81,924.72005279
1741824000000,83660.81,84305.73,79896.79,81054.05,627.72006123
1741910400000,81054.05,85318,80797.51,83966.64,842.56039125
1741996800000,83966.64,84678.99,83639.43,84327.77,137.31054827
1742083200000,84327.77,85108,81968.04,82571.6,234.11952344
1742169600000,82571.6,84749.03,82431.58,83998.03,557.56635058
1742256000000,83998.03,84021.7,81118.74,82682.71,600.42893243
1742342400000,82682.71,87035.39,82524.42,86887.05,811.6378735
1742428800000,86887.05,87486.72,83583.57,84188.08,637.64706357
1742515200000,84188.08,84807.02,83117.67,84037.67,345.11044187
1742601600000,84037.67,84472.24,83657.58,83833.52,80.42007869
1742688000000,83833.52,86117.92,83800.77,86085.19,142.81608031
1742774400000,86085.19,88806.34,85551.29,87523.72,590.48129782
1742860800000,87523.72,88580.34,86320.59,87463.22,497.20429655
1742947200000,87463.22,88289.98,85851.45,86907.25,524.34381008
1743033600000,86907.25,87771.42,85826,87223.2,594.77478335
1743120000000,87223.2,87504.15,83528,84375,584.1849349
1743206400000,84375,84582.02,81625.92,82593.16,129.06854523
1743292800000,82593.16,83542.04,81529.17,82324.11,140.0079296
1743379200000,82324.11,83921.11,81274.96,82558.5,388.23686895
1743465600000,82558.5,85560.92,82415.85,85198.57,601.22645689
1743552000000,85198.57,88545.99,82261.99,82481.46,840.99761723
1743638400000,82481.46,83933.3,81172.08,83151.13,651.14349735
1743724800000,83151.13,84712.65,81649,83838.7,836.68714514
1743811200000,83838.7,84218.15,82352.58,83495.56,92.73637343
1743897600000,83495.56,83728.04,77082.44,78361.24,521.43181472
1743984000000,78361.24,81371.56,74415,79115.45,2173.90376809
1744070400000,79115.45,80828.34,76180.3,76237.27,1135.20720148
1744156800000,76237.27,83579.4,74553.72,82586.73,2298.11816981
1744243200000,82586.73,82727.07,78400,79544.1,960.73556597
1744329600000,79544.1,84268.13,78950.9,83379.99,965.09132073
1744416000000,83379.99,85882.67,82400,85275.34,342.18708522
1744502400000,85275.34,86063.44,83019.44,83739.36,273.68488366
1744588800000,83739.36,85865.09,83665.21,84590.6,837.45658647
1744675200000,84590.6,86481.88,83580.85,83619.03,547.96091472
