timestamp,open,high,low,close,volume
1767477600000,90527.91,90677.7,90442.91,90548,6.28645253
1767481200000,90548,90656.87,90420.58,90592.94,4.7995851
1767484800000,90592.94,91560.61,90592.94,91311.73,22.36941346
1767488400000,91311.73,91436.57,90978,91200.18,8.60333104
1767492000000,91200.18,91250.75,91047,91091,5.7732603
1767495600000,91091,91328.36,91068.05,91215.53,3.47637123
1767499200000,91215.53,91537,91145.68,91350,4.3937156
1767502800000,91350,91444.04,91318.56,91439.46,4.78658625
1767506400000,91439.46,91749.14,91226.16,91227.05,6.37744284
1767510000000,91227.05,91480.99,91185.75,91478.5,2.80127288
1767513600000,91478.5,91486.85,91156.14,91339.01,7.77995284
1767517200000,91339.01,91441.42,91222.73,91426.38,1.74753724
1767520800000,91426.38,91577.25,91390.37,91562.86,1.94150888
1767524400000,91562.86,91562.86,91219.16,91220.83,6.7503936
1767528000000,91220.83,91301.17,91064.29,91103.15,3.76225427
1767531600000,91103.15,91244.31,91004.22,91244.31,0.87785406
1767535200000,91244.31,91384.01,91122.17,91287.74,1.35618479
1767538800000,91287.74,91332.38,91067.72,91298.86,2.78361517
1767542400000,91298.86,91418.53,91205.75,91277.68,7.68641629
1767546000000,91277.68,91403.43,91262.81,91306.39,4.02908682
1767549600000,91306.39,91306.39,90925.6,91167.6,6.58496616
1767553200000,91167.6,91184.05,90832.35,91109.45,16.69550577
1767556800000,91109.45,91312,91090.62,91255.23,8.26847666
1767560400000,91255.23,91393.99,91146.29,91226.78,6.02288707
1767564000000,91226.78,91350,91111.01,91174.64,9.0779494
1767567600000,91174.64,91552.03,91174.64,91534.46,39.04726755
1767571200000,91534.46,92392.17,91466.84,92327.82,61.58876515
1767574800000,92327.82,93333,92242.95,92913.33,67.0876479
1767578400000,92913.33,93119.85,92694.96,92998.86,21.61104345
1767582000000,92998.86,93175.11,92837.86,92838.36,17.52474152
1767585600000,92838.36,92919.73,92284.99,92585.51,16.0676183
1767589200000,92585.51,92683.2,92297,92297,76.48493478
1767592800000,92297,92456.78,92107.88,92456.68,12.25767092
1767596400000,92456.68,92601.81,92437.49,92486.71,3.99825512
1767600000000,92486.71,92722.41,92417.4,92433.41,5.79118013
1767603600000,92433.41,92812.31,92279.91,92643.83,17.41540087
1767607200000,92643.83,93114.27,92623.5,93022.73,16.22033767
1767610800000,93022.73,93109.79,92843.66,93086.61,10.83828092
1767614400000,93086.61,93176.23,92727.35,92824.64,29.5144452
1767618000000,92824.64,92973.79,92500,92700,21.93024818
1767621600000,92700,93651.74,92341.3,93399.3,64.87929488
1767625200000,93399.3,93976.95,93159.56,93940.05,41.6951667
1767628800000,93940.05,94065.58,93575.05,93697.02,28.86541749
1767632400000,93697.02,94455.36,93270.53,94337,51.41509986
1767636000000,94337,94500,93901.38,94452,28.5457598
1767639600000,94452,94513.4,93871.2,94316.8,42.70189736
1767643200000,94316.8,94785,94069.69,94199.99,34.13403663
1767646800000,94199.99,94222.5,93842.63,94098.74,9.5589712
1767650400000,94098.74,94407.52,94032.09,94183.11,38.80590198
1767654000000,94183.11,94204.64,93861.18,93866.06,33.89445826
1767657600000,93866.06,93951.34,93565.53,93815.61,21.60735426
1767661200000,93815.61,94160.01,93755.31,93787.55,3.74650422
1767664800000,93787.55,93851.97,93535.29,93620.04,6.86866852
1767668400000,93620.04,93939.81,93616.02,93781.94,5.5329903
1767672000000,93781.94,94000.29,93739.08,93795.93,3.77056051
1767675600000,93795.93,93795.93,93564.45,93564.45,3.27466591
1767679200000,93564.45,93927.34,93550.78,93760.15,9.93689056
1767682800000,93760.15,93764.32,93112.16,93220.01,18.0076391
1767686400000,93220.01,93403.34,93176.27,93194.82,2.44369208
1767690000000,93194.82,93532.66,93194.82,93434.01,3.86999577
1767693600000,93434.01,93639.74,93407.01,93560.01,2.7244017
1767697200000,93560.01,93886,93544,93828.04,2.9029212
1767700800000,93828.04,93980,93773.17,93836.38,7.91837215
1767704400000,93836.38,93845.55,93614.13,93698.01,3.49380841
1767708000000,93698.01,94420.69,93500.01,93814.95,17.8958892
1767711600000,93814.95,94289.65,93309.38,93572.17,55.7296284
1767715200000,93572.17,93741.33,92290.14,92647,25.48542452
1767718800000,92647,92710.77,91456.69,91509.39,24.87992756
1767722400000,91509.39,92143.39,91218.89,91961.79,68.29093122
1767726000000,91961.79,92253.39,91863.56,92054,18.48917058
1767729600000,92054,92637.3,92054,92451,13.50859325
1767733200000,92451,93799.48,92326.69,93220.76,46.07884507
1767736800000,93220.76,93447.94,92928.37,93321.69,11.51132279
1767740400000,93321.69,93760.02,93311.01,93701.27,7.39546659
1767744000000,93701.27,93701.27,92598.52,92641.9,12.20968427
1767747600000,92641.9,92834,92288.89,92432.89,7.32152151
1767751200000,92432.89,92973.36,92200.68,92897.19,2.27160414
1767754800000,92897.19,93059.11,92694.98,92759.11,19.55225047
1767758400000,92759.11,92837.51,92550.78,92620,5.39573863
1767762000000,92620,92793.19,92439.17,92495.95,7.39055079
1767765600000,92495.95,92818.91,92460,92543.48,4.36887757
1767769200000,92543.48,92830.32,92543.48,92821.02,4.43826295
1767772800000,92821.02,92915.43,92623.81,92652,1.82695896
1767776400000,92652,92652,91537.57,91638.53,5.94685004
1767780000000,91638.53,91904.61,91531,91904.61,12.80372099
1767783600000,91904.61,92155.99,91860.47,92034.48,5.56072392
1767787200000,92034.48,92098.03,91904,91917.06,3.46997663
1767790800000,91917.06,92214.31,91791.7,91968.33,9.52177107
1767794400000,91968.33,92086.39,91307.75,91896.27,11.4240672
1767798000000,91896.27,91918.13,90962.6,91258.5,28.22316084
1767801600000,91258.5,91709.86,91068.61,91145,23.75423713
1767805200000,91145,91587.79,90950,91177.21,10.45325103
1767808800000,91177.21,91351.89,90650.03,90793.73,43.43770167
1767812400000,90793.73,91169.72,90588.7,91091.01,17.91308942
1767816000000,91091.01,91190.33,90685.17,90953.81,17.22324109
1767819600000,90953.81,91124.98,90918.01,91014.47,2.86446836
1767823200000,91014.47,91231.57,90785.69,91119.73,5.20592084
